ID,Overall_Experience,Seat_Comfort,Seat_Class,Arrival_Time_Convenient,Catering,Platform_Location,Onboard_Wifi_Service,Onboard_Entertainment,Online_Support,Ease_of_Online_Booking,Onboard_Service,Legroom,Baggage_Handling,CheckIn_Service,Cleanliness,Online_Boarding
98803344,1,Excellent,Ordinary,Acceptable,Good,Manageable,Excellent,Excellent,Excellent,Excellent,Excellent,Needs Improvement,Acceptable,Good,Good,Excellent
98803345,1,Good,Green Car,Good,Good,Convenient,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Acceptable
98803346,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Good,Good,Good,Acceptable,Good,Good,Good,Good,Good,Good
98803347,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Convenient,Good,Needs Improvement,Good,Good,Good,Poor,Good,Good,Acceptable,Good
98803348,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98803349,1,Good,Ordinary,,Good,Needs Improvement,Excellent,Good,Excellent,Excellent,Good,Acceptable,Excellent,Acceptable,Good,Excellent
98803350,1,Poor,Ordinary,Poor,Poor,Inconvenient,Acceptable,Good,Good,Good,Good,Good,Good,Excellent,Good,Excellent
98803351,1,Good,Green Car,Good,Good,Convenient,Needs Improvement,Poor,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good
98803352,1,Good,Ordinary,Excellent,Good,Very Convenient,Acceptable,Good,Excellent,Poor,Poor,Good,Poor,Excellent,Poor,Acceptable
98803353,0,Poor,Ordinary,Good,Poor,Manageable,Acceptable,Poor,Acceptable,Acceptable,Acceptable,Poor,Good,Needs Improvement,Good,Acceptable
98803354,1,Good,Ordinary,Needs Improvement,Good,Needs Improvement,Good,Good,Good,Good,Needs Improvement,Needs Improvement,Needs Improvement,Good,Poor,Good
98803355,0,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Good,Acceptable,Good,Acceptable,Acceptable
98803356,0,Needs Improvement,Green Car,Poor,Poor,Needs Improvement,Acceptable,Poor,Acceptable,Acceptable,Excellent,Excellent,Excellent,Acceptable,Excellent,Acceptable
98803357,1,Acceptable,Green Car,Needs Improvement,Acceptable,Manageable,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Excellent,Acceptable,Good,Excellent
98803358,1,Good,Ordinary,Good,Acceptable,Convenient,Poor,Poor,Poor,Good,Good,Good,Good,Needs Improvement,Good,Good
98803359,0,Acceptable,Ordinary,,Acceptable,Manageable,Good,Needs Improvement,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Poor
98803360,0,Acceptable,Green Car,Excellent,,Needs Improvement,Needs Improvement,Acceptable,Excellent,Needs Improvement,Acceptable,Acceptable,Good,Good,Good,Needs Improvement
98803361,0,Good,Green Car,Excellent,Excellent,Very Convenient,Good,Good,Acceptable,Good,Good,Good,Good,Poor,Good,Poor
98803362,0,Acceptable,Green Car,Excellent,,Convenient,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Acceptable,Excellent,Excellent,Good,Good,Needs Improvement
98803363,1,Good,Ordinary,Acceptable,Acceptable,Manageable,Excellent,Poor,Excellent,Good,Good,Good,Good,Needs Improvement,Good,Good
98803364,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Good
98803365,1,Excellent,Green Car,Excellent,,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Excellent,Excellent,Good,Excellent
98803366,1,Poor,Ordinary,Poor,Poor,Inconvenient,Good,Good,Good,Poor,Good,Good,Poor,Good,Acceptable,Good
98803367,1,Good,Ordinary,Good,Acceptable,Manageable,Good,Good,Good,Good,Acceptable,Excellent,Poor,Needs Improvement,Excellent,Good
98803368,0,Acceptable,Green Car,,Needs Improvement,Needs Improvement,Extremely Poor,Poor,Acceptable,Extremely Poor,Acceptable,Needs Improvement,Good,Acceptable,Acceptable,Extremely Poor
98803369,0,Poor,Ordinary,Excellent,Excellent,Very Convenient,Good,Good,Acceptable,Poor,Poor,Poor,Poor,Acceptable,Poor,Needs Improvement
98803370,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent
98803371,1,Good,Ordinary,,Good,Convenient,Needs Improvement,Poor,Good,Good,Good,Good,Good,Excellent,Good,Needs Improvement
98803372,0,Poor,Ordinary,Needs Improvement,Poor,Convenient,Excellent,Poor,Excellent,Excellent,Needs Improvement,Acceptable,Good,Acceptable,Good,Excellent
98803373,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good
98803374,1,Good,Ordinary,Good,Good,Convenient,Acceptable,Excellent,Good,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,Good
98803375,0,Good,Green Car,Needs Improvement,,Needs Improvement,Acceptable,Acceptable,Acceptable,Good,Good,Acceptable,Good,Needs Improvement,Good,Good
98803376,1,Good,Green Car,Good,Good,Convenient,Poor,Good,Excellent,Good,Good,Good,Good,Poor,Good,Excellent
98803377,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Excellent,Acceptable,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Acceptable
98803378,1,Poor,Green Car,,Poor,Inconvenient,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Acceptable
98803379,1,Good,Ordinary,Good,,Convenient,Good,Good,Good,Good,Good,Excellent,Good,Acceptable,Good,Excellent
98803380,1,Good,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Good
98803381,0,Good,Green Car,Acceptable,Good,Convenient,Needs Improvement,Good,Good,Needs Improvement,Acceptable,Excellent,Excellent,Poor,Acceptable,Needs Improvement
98803382,1,Poor,Ordinary,Poor,Poor,Inconvenient,Acceptable,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent
98803383,0,Acceptable,Ordinary,Excellent,Excellent,Very Convenient,Acceptable,Acceptable,Poor,Acceptable,Needs Improvement,Good,Good,Acceptable,Acceptable,Acceptable
98803384,0,Acceptable,Ordinary,Good,Acceptable,Manageable,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Good,Excellent,Good,Poor,Acceptable
98803385,0,Acceptable,Green Car,Excellent,Excellent,Very Convenient,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Poor,Acceptable,Good,Good,Acceptable
98803386,1,Needs Improvement,Green Car,,Needs Improvement,Needs Improvement,Good,Good,Excellent,Good,Excellent,Good,Good,Acceptable,Excellent,Good
98803387,0,Acceptable,Green Car,,Needs Improvement,Needs Improvement,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
98803388,0,Needs Improvement,Green Car,Excellent,Needs Improvement,Very Convenient,Excellent,Needs Improvement,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent
98803389,1,Good,Ordinary,Good,Good,Manageable,Acceptable,Good,Acceptable,Acceptable,Poor,Needs Improvement,Poor,Excellent,Acceptable,Acceptable
98803390,0,Needs Improvement,Green Car,Acceptable,Acceptable,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement
98803391,0,Poor,Ordinary,Good,Poor,Manageable,Poor,Poor,Poor,Poor,,Good,Good,Good,Acceptable,Poor
98803392,0,Acceptable,Green Car,Extremely Poor,Extremely Poor,Manageable,Poor,Extremely Poor,Poor,Poor,Good,Good,Excellent,Good,Good,Poor
98803393,1,Needs Improvement,Ordinary,,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Excellent
98803394,1,Good,Green Car,Good,Good,Convenient,Acceptable,Good,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Excellent
98803395,0,Acceptable,Ordinary,Poor,Poor,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Needs Improvement,Good,Acceptable
98803396,0,Acceptable,Green Car,Acceptable,,Manageable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Good,Acceptable,Acceptable,Good,Acceptable
98803397,1,Good,Green Car,Poor,Poor,Inconvenient,Good,Good,Good,Excellent,Acceptable,Poor,Good,Good,Good,Good
98803398,0,Good,Ordinary,Acceptable,Acceptable,Manageable,Good,Good,Good,Good,Good,Poor,Good,Acceptable,Good,Good
98803399,1,Good,Green Car,Good,,Convenient,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent
98803400,0,Acceptable,Ordinary,Acceptable,,Manageable,Poor,Acceptable,Poor,Poor,Good,Good,Excellent,Good,Excellent,Poor
98803401,0,Poor,Ordinary,Good,Poor,Needs Improvement,Excellent,Poor,Excellent,Excellent,Excellent,Good,Excellent,Needs Improvement,Good,Excellent
98803402,1,Excellent,Ordinary,Good,Excellent,Manageable,Acceptable,Excellent,Acceptable,Acceptable,Acceptable,Needs Improvement,Excellent,Excellent,Good,Acceptable
98803403,1,Good,Ordinary,Good,Excellent,Convenient,Excellent,Poor,Good,Acceptable,Acceptable,Good,Acceptable,Excellent,Acceptable,Excellent
98803404,1,Good,Green Car,Good,Good,Convenient,Needs Improvement,Good,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Excellent,Good,Good,Needs Improvement
98803405,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
98803406,0,Good,Ordinary,Acceptable,,Manageable,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Excellent,Good,Excellent,Good,Good,Needs Improvement
98803407,1,Excellent,Green Car,,Excellent,Very Convenient,Acceptable,Needs Improvement,Good,Excellent,Excellent,Excellent,Acceptable,Needs Improvement,Excellent,Needs Improvement
98803408,0,Acceptable,Green Car,Excellent,Excellent,Very Convenient,Poor,Needs Improvement,Needs Improvement,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Acceptable,Poor
98803409,1,Acceptable,Ordinary,Needs Improvement,Good,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Acceptable,Excellent,Acceptable,Needs Improvement
98803410,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Good,Good,Good,Needs Improvement,,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Good
98803411,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98803412,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Acceptable,Good,Excellent,Excellent,,Good,Excellent,Good,Excellent,Excellent
98803413,1,Needs Improvement,Ordinary,,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Poor,Good,Good,Good,Good,Needs Improvement,Good,Poor
98803414,0,Poor,Ordinary,Good,Poor,Very Convenient,Acceptable,Poor,Acceptable,Acceptable,Excellent,Good,Good,Good,Excellent,Acceptable
98803415,1,Acceptable,Ordinary,Poor,Poor,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Good,Poor,Acceptable
98803416,1,Extremely Poor,Green Car,Good,Poor,Needs Improvement,Poor,Poor,Excellent,Poor,Good,Good,Excellent,Acceptable,Excellent,Poor
98803417,0,Needs Improvement,Green Car,Acceptable,Acceptable,Manageable,Good,Acceptable,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Poor
98803418,0,Acceptable,Green Car,Poor,Acceptable,Needs Improvement,Poor,Acceptable,Poor,Poor,Acceptable,Needs Improvement,Poor,Needs Improvement,Needs Improvement,Poor
98803419,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Needs Improvement,Good,Excellent,Good,Good,Good,Good,Acceptable,Good,Acceptable
98803420,1,Poor,Ordinary,Poor,Poor,Inconvenient,Needs Improvement,Excellent,Acceptable,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent
98803421,0,Needs Improvement,Green Car,Poor,Needs Improvement,Needs Improvement,Good,Needs Improvement,Needs Improvement,Needs Improvement,,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Poor
98803422,1,Poor,Green Car,Poor,Poor,Inconvenient,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good
98803423,0,Needs Improvement,Green Car,Poor,Needs Improvement,Convenient,Acceptable,Needs Improvement,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,Acceptable,Acceptable
98803424,1,Excellent,Green Car,,Excellent,Very Convenient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98803425,1,Excellent,Ordinary,Extremely Poor,Excellent,Inconvenient,Poor,Excellent,Excellent,Poor,Good,Needs Improvement,Acceptable,Good,Good,Poor
98803426,0,Acceptable,Green Car,Poor,Poor,Inconvenient,Excellent,Needs Improvement,Good,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Acceptable,Acceptable
98803427,0,Poor,Green Car,Good,Poor,Manageable,Excellent,Poor,Excellent,Excellent,Needs Improvement,Good,Acceptable,Acceptable,Good,Excellent
98803428,1,Excellent,Ordinary,Acceptable,Excellent,Very Convenient,Needs Improvement,Poor,Poor,Excellent,Excellent,Excellent,Good,Needs Improvement,Excellent,Needs Improvement
98803429,1,Good,Ordinary,Good,,Convenient,Acceptable,Good,Good,Good,Good,Good,Good,Excellent,Good,Good
98803430,1,Excellent,Ordinary,Good,Excellent,Manageable,Poor,Excellent,Poor,Poor,Needs Improvement,Excellent,Good,Poor,Acceptable,Poor
98803431,0,Poor,Ordinary,Needs Improvement,Poor,Manageable,Acceptable,Poor,Acceptable,Acceptable,Good,Good,Good,Acceptable,Good,Acceptable
98803432,1,Poor,Green Car,Poor,Poor,Inconvenient,Good,Good,Good,Good,Needs Improvement,Poor,Poor,Needs Improvement,Good,Good
98803433,0,Acceptable,Green Car,Acceptable,,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Good,Acceptable,Excellent,Acceptable
98803434,1,Excellent,Green Car,Excellent,,Very Convenient,Poor,Excellent,Acceptable,Good,Good,Good,Good,Good,Good,Excellent
98803435,1,Acceptable,Green Car,Excellent,Acceptable,Manageable,Poor,Poor,Good,Acceptable,Acceptable,Excellent,Acceptable,Poor,Acceptable,Acceptable
98803436,1,Good,Ordinary,,Good,Needs Improvement,Good,Good,Good,Good,Good,Acceptable,Poor,Good,Good,Good
98803437,0,Poor,Green Car,Poor,Poor,Convenient,Poor,Poor,Poor,Poor,Poor,Excellent,Acceptable,Needs Improvement,Good,Poor
98803438,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Good,Excellent,Acceptable,Excellent,Excellent,Excellent,Excellent,Needs Improvement,Excellent,Poor
98803439,1,Poor,Green Car,Poor,Poor,Inconvenient,Good,Good,Good,Good,Acceptable,Good,Good,Good,Good,Good
98803440,1,Extremely Poor,Ordinary,,Extremely Poor,Manageable,Needs Improvement,Extremely Poor,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Poor,Poor,Needs Improvement
98803441,1,Good,Ordinary,Good,,Convenient,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98803442,0,Good,Green Car,Good,Good,Inconvenient,Good,Good,Good,Good,Acceptable,Acceptable,Excellent,Good,Good,Good
98803443,0,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Good,Acceptable,Good,Good,Good,Good,Good,Excellent,Good,Good
98803444,0,Acceptable,Green Car,Good,Acceptable,Convenient,Poor,Acceptable,Poor,Poor,Acceptable,Excellent,Acceptable,Poor,Acceptable,Poor
98803445,0,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Good,Acceptable,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Needs Improvement,Poor
98803446,0,Acceptable,Green Car,Poor,Acceptable,Manageable,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Acceptable,Excellent,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement
98803447,0,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Poor,Acceptable,Acceptable,Acceptable,Acceptable
98803448,1,Poor,Green Car,Poor,Poor,Inconvenient,Needs Improvement,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Good
98803449,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Good,Acceptable
98803450,0,Needs Improvement,Green Car,Good,,Convenient,Good,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Good,Acceptable,Needs Improvement
98803451,1,Acceptable,Ordinary,,Acceptable,Manageable,Acceptable,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
98803452,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Acceptable,Excellent,Good,Good,Good,Good,Good,Acceptable,Good,Acceptable
98803453,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Good,Good,Good,Good,Good,Needs Improvement,Acceptable,Poor,Poor,Good
98803454,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Good
98803455,0,Needs Improvement,Green Car,Excellent,Excellent,Very Convenient,Needs Improvement,Acceptable,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor
98803456,1,Poor,Green Car,Acceptable,Poor,Inconvenient,Excellent,Excellent,Excellent,Excellent,Needs Improvement,Acceptable,Excellent,Excellent,Excellent,Excellent
98803457,1,Needs Improvement,Ordinary,Good,Needs Improvement,Needs Improvement,Good,Good,Good,Good,Acceptable,Excellent,Good,Good,Good,Good
98803458,1,Good,Ordinary,Good,Good,Convenient,Excellent,Good,Excellent,Excellent,,Good,Good,Excellent,Excellent,Good
98803459,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Needs Improvement,Excellent,Excellent,Good,Good,Excellent,Good,Acceptable,Good,Excellent
98803460,1,Poor,Green Car,Poor,Poor,Inconvenient,Acceptable,Excellent,Good,Excellent,,Excellent,Excellent,Acceptable,Excellent,Good
98803461,1,Good,Green Car,Good,Good,Manageable,Good,Good,Good,Good,Acceptable,Acceptable,Good,Good,Excellent,Good
98803462,1,Excellent,Green Car,Extremely Poor,Good,Convenient,Acceptable,Good,Acceptable,Acceptable,Excellent,Good,Excellent,Good,Excellent,Acceptable
98803463,0,Needs Improvement,Ordinary,Excellent,Excellent,Very Convenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Needs Improvement,Good,Needs Improvement
98803464,1,Excellent,Green Car,Excellent,Excellent,Manageable,Excellent,Excellent,Excellent,Excellent,Poor,Acceptable,Poor,Excellent,Poor,Excellent
98803465,0,Good,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Needs Improvement,Good,Good,Good,Good,Good,Good,Acceptable
98803466,0,Acceptable,Ordinary,,Acceptable,Convenient,Acceptable,Good,Good,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Good,Needs Improvement,Acceptable
98803467,1,Good,Green Car,Good,Good,Convenient,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98803468,0,Acceptable,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Poor,Good,Needs Improvement,Acceptable,Acceptable
98803469,1,Excellent,Green Car,Good,,Manageable,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Acceptable,Excellent,Excellent
98803470,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Good,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Acceptable
98803471,1,Good,Ordinary,Good,Good,Convenient,Good,Acceptable,Acceptable,Good,Good,Good,Good,Needs Improvement,Good,Poor
98803472,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Acceptable,Good,Good,Good,Good,Good,Good,Good,Good,Acceptable
98803473,0,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Good,Needs Improvement,Acceptable,Needs Improvement,Acceptable,Needs Improvement
98803474,1,Good,Green Car,Good,Good,Convenient,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Acceptable
98803475,0,Acceptable,Ordinary,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Acceptable,Good,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement
98803476,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Inconvenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Needs Improvement,Excellent,Acceptable,Excellent,Needs Improvement
98803477,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Very Convenient,Excellent,Needs Improvement,Excellent,Excellent,,Needs Improvement,Good,Good,Excellent,Excellent
98803478,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Good,Good
98803479,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Needs Improvement,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent
98803480,1,Acceptable,Ordinary,Acceptable,Needs Improvement,Manageable,Excellent,Acceptable,Acceptable,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Needs Improvement
98803481,1,Good,Green Car,Good,Good,Convenient,Needs Improvement,Excellent,Excellent,Acceptable,,Needs Improvement,Acceptable,Good,Acceptable,Acceptable
98803482,0,Poor,Ordinary,Poor,Poor,Inconvenient,Poor,Poor,Poor,Needs Improvement,Needs Improvement,Good,Acceptable,Poor,Acceptable,Poor
98803483,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Acceptable,Acceptable,Excellent,Good,Good,Good,Good,Acceptable,Good,Excellent
98803484,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Excellent,Excellent,Excellent,Excellent,Acceptable,Poor,Excellent,Good,Acceptable,Excellent
98803485,0,Good,Green Car,Poor,Good,Manageable,Good,Acceptable,Acceptable,Poor,Poor,Good,Poor,Good,Poor,Needs Improvement
98803486,1,Good,Green Car,Good,Good,Convenient,Acceptable,Good,Good,Good,Good,Good,Good,Good,Good,Good
98803487,0,Acceptable,Ordinary,Excellent,Acceptable,Very Convenient,Acceptable,Acceptable,Needs Improvement,Acceptable,Acceptable,Excellent,Excellent,Good,Excellent,Acceptable
98803488,1,Good,Green Car,Acceptable,Needs Improvement,Manageable,Good,Excellent,Poor,Good,Good,Good,Good,Good,Good,Needs Improvement
98803489,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Acceptable,Excellent,Good,Good,,Good,Good,Good,Good,Excellent
98803490,1,Good,Ordinary,Good,Good,Convenient,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Good,Acceptable
98803491,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Needs Improvement,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
98803492,1,Good,Ordinary,Good,Good,Convenient,Good,Good,Good,Good,Acceptable,Poor,Good,Excellent,Excellent,Good
98803493,1,Poor,Ordinary,Poor,Poor,Inconvenient,Excellent,Excellent,Good,Excellent,,Excellent,Excellent,Good,Excellent,Acceptable
98803494,0,Acceptable,Ordinary,Needs Improvement,Extremely Poor,Needs Improvement,Excellent,Extremely Poor,Excellent,Excellent,Acceptable,Good,Needs Improvement,Poor,Acceptable,Excellent
98803495,1,Good,Ordinary,Good,Good,Convenient,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Acceptable,Good,Acceptable,Excellent,Acceptable
98803496,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Needs Improvement,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Acceptable
98803497,0,Poor,Green Car,,Poor,Manageable,Excellent,Poor,Excellent,Excellent,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Good,Excellent
98803498,1,Needs Improvement,Green Car,Good,Needs Improvement,Needs Improvement,Excellent,Good,Excellent,Good,Good,Good,Good,Acceptable,Good,Acceptable
98803499,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Acceptable
98803500,0,Needs Improvement,Green Car,Acceptable,Acceptable,Manageable,Good,Good,Acceptable,Poor,Poor,Poor,Needs Improvement,Poor,Poor,Poor
98803501,1,Needs Improvement,Green Car,,Needs Improvement,Needs Improvement,Acceptable,Poor,Acceptable,Good,Good,Good,Excellent,Good,Good,Acceptable
98803502,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Excellent,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Acceptable,Acceptable
98803503,1,Good,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Good,Good,Needs Improvement,Good,Needs Improvement,Needs Improvement,Poor,Good
98803504,0,Acceptable,Green Car,Good,Acceptable,Convenient,Poor,Acceptable,Poor,Poor,Acceptable,Good,Excellent,Excellent,Excellent,Poor
98803505,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Manageable,Excellent,Needs Improvement,Excellent,Excellent,Needs Improvement,Needs Improvement,Needs Improvement,Good,Acceptable,Excellent
98803506,0,Acceptable,Ordinary,Good,Good,Convenient,Excellent,Good,Good,Acceptable,Acceptable,Acceptable,Acceptable,Good,Acceptable,Needs Improvement
98803507,0,Good,Ordinary,,Excellent,Manageable,Good,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Acceptable,Poor,Acceptable,Good
98803508,0,Poor,Ordinary,Good,Good,Convenient,Acceptable,Acceptable,Acceptable,Good,Good,Good,Poor,Acceptable,Good,Poor
98803509,1,Excellent,Green Car,Extremely Poor,Excellent,Convenient,Acceptable,Excellent,Excellent,Acceptable,Excellent,Needs Improvement,Good,Good,Excellent,Acceptable
98803510,1,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Good,Excellent,Excellent,Excellent,Needs Improvement,Acceptable,Excellent,Excellent,Excellent
98803511,1,Acceptable,Ordinary,Acceptable,Good,Manageable,Acceptable,Excellent,Excellent,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Excellent
98803512,0,Acceptable,Green Car,Good,Good,Convenient,Acceptable,Acceptable,Acceptable,Good,Excellent,Acceptable,Needs Improvement,Acceptable,Poor,Acceptable
98803513,0,Needs Improvement,Ordinary,Acceptable,Needs Improvement,Inconvenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,,Poor,Good,Needs Improvement,Excellent,Needs Improvement
98803514,1,Acceptable,Green Car,Acceptable,,Manageable,Excellent,Excellent,Excellent,Good,Good,Good,Good,Acceptable,Good,Excellent
