ID,Gender,Customer_Type,Age,Type_Travel,Travel_Class,Travel_Distance,Departure_Delay_in_Mins,Arrival_Delay_in_Mins
98808684,Male,Loyal Customer,45,,Eco,1813,0,0
98808685,Male,Loyal Customer,47,Business Travel,Eco,1374,5,0
98808686,Female,,20,Business Travel,Eco,2096,0,0
98808687,Male,Loyal Customer,18,Personal Travel,Eco,2091,39,28
98808688,Female,Loyal Customer,52,,Eco,719,56,49
98808689,Male,Loyal Customer,53,Business Travel,Business,1233,0,0
98808690,Male,Loyal Customer,26,Business Travel,Business,1689,0,0
98808691,Female,Loyal Customer,45,Business Travel,Business,3403,1,0
98808692,Male,,51,Personal Travel,Eco,2202,75,77
98808693,Female,Loyal Customer,66,Personal Travel,Eco,1897,145,164
98808694,Female,,23,Business Travel,Eco,2319,0,0
98808695,Female,,40,Business Travel,Eco,2162,0,0
98808696,Female,Loyal Customer,51,Personal Travel,Eco,1563,0,0
98808697,Female,Disloyal Customer,55,Business Travel,Eco,1139,0,0
98808698,Female,Loyal Customer,55,Personal Travel,Business,935,35,37
98808699,Female,Loyal Customer,11,Personal Travel,Eco,2326,186,184
98808700,Female,,30,Business Travel,Business,1478,0,0
98808701,Female,Disloyal Customer,18,Business Travel,Eco,2134,0,0
98808702,Male,,17,Personal Travel,Eco,2587,0,0
98808703,Male,Loyal Customer,44,Business Travel,Business,3391,0,0
98808704,Male,Loyal Customer,32,Business Travel,Business,1725,0,0
98808705,Male,Loyal Customer,65,Personal Travel,Business,1234,46,44
98808706,Male,Loyal Customer,48,Business Travel,Business,3539,0,0
98808707,Male,Loyal Customer,17,,Eco,1954,14,3
98808708,Female,Loyal Customer,7,Business Travel,Business,4557,0,0
98808709,Female,Loyal Customer,57,Business Travel,Business,3065,0,0
98808710,Male,Loyal Customer,52,Business Travel,Eco,1566,0,0
98808711,Male,Disloyal Customer,25,Business Travel,Eco,2312,0,24
98808712,Female,Loyal Customer,47,Personal Travel,Eco,2416,3,3
98808713,Male,Disloyal Customer,10,Business Travel,Eco,2093,0,0
98808714,Male,Loyal Customer,21,Business Travel,Business,2636,10,0
98808715,Female,Loyal Customer,30,Personal Travel,Eco,2686,3,0
98808716,Female,Loyal Customer,26,Business Travel,Business,4389,0,7
98808717,Male,Disloyal Customer,23,Business Travel,Eco,1632,0,0
98808718,Female,Loyal Customer,11,Personal Travel,Business,2076,2,0
98808719,Female,,52,Business Travel,Business,3888,34,23
98808720,Male,Loyal Customer,38,Business Travel,Business,1820,0,0
98808721,Female,Loyal Customer,56,,Business,538,0,0
98808722,Male,Loyal Customer,7,Personal Travel,Eco,1983,0,0
98808723,Female,Loyal Customer,14,Personal Travel,Eco,1243,0,0
98808724,Male,Loyal Customer,23,Personal Travel,Eco,1721,0,0
98808725,Female,Loyal Customer,48,Business Travel,Eco,67,0,0
98808726,Female,Loyal Customer,30,,Eco,1838,100,98
98808727,Male,Loyal Customer,28,Business Travel,Business,3126,0,0
98808728,Female,Loyal Customer,55,Personal Travel,Eco,328,63,60
98808729,Male,Loyal Customer,42,Business Travel,Business,1774,0,0
98808730,Female,Disloyal Customer,27,Business Travel,Eco,4245,0,2
98808731,Male,Loyal Customer,29,Business Travel,Business,1022,0,0
98808732,Male,Loyal Customer,34,Business Travel,Business,1058,0,0
98808733,Male,,22,Business Travel,Eco,1679,0,0
98808734,Female,Loyal Customer,15,Personal Travel,Eco,1931,0,1
98808735,Female,Loyal Customer,37,Business Travel,Business,677,0,0
98808736,Male,Loyal Customer,49,Business Travel,Business,591,0,0
98808737,Male,Loyal Customer,35,Business Travel,Business,2259,0,0
98808738,Male,Loyal Customer,57,,Business,2856,0,0
98808739,Female,,31,Business Travel,Eco,1580,0,0
98808740,Male,Loyal Customer,59,Personal Travel,Eco,1928,87,104
98808741,Female,,28,Business Travel,Business,4694,0,5
98808742,Female,Disloyal Customer,25,Business Travel,Business,3953,0,0
98808743,Female,Disloyal Customer,23,Business Travel,Business,2292,0,0
98808744,Male,Loyal Customer,30,Business Travel,Business,2524,0,0
98808745,Male,Loyal Customer,42,Business Travel,Business,500,0,0
98808746,Female,,70,Personal Travel,Business,979,5,6
98808747,Female,Loyal Customer,41,Business Travel,Eco,1779,8,6
98808748,Female,Loyal Customer,60,Business Travel,Eco,2082,228,230
98808749,Male,Loyal Customer,57,Personal Travel,Eco,2446,92,102
98808750,Male,,63,Business Travel,Business,1474,11,12
98808751,Male,Disloyal Customer,23,Business Travel,Eco,2439,0,0
98808752,Female,Loyal Customer,31,Business Travel,Business,3069,0,0
98808753,Male,,19,Business Travel,Business,4390,1,3
98808754,Female,,30,Business Travel,Eco,1621,0,0
98808755,Female,Loyal Customer,9,Personal Travel,Eco,2142,0,0
98808756,Male,Loyal Customer,66,Business Travel,Business,766,45,33
98808757,Female,Loyal Customer,31,Business Travel,Eco,3824,0,18
98808758,Male,,53,Business Travel,Business,3766,0,0
98808759,Female,Loyal Customer,56,Business Travel,Business,2065,0,0
98808760,Male,Loyal Customer,15,Personal Travel,Eco,2016,0,0
98808761,Male,Loyal Customer,20,Business Travel,Business,2197,40,23
98808762,Male,Loyal Customer,30,Personal Travel,Eco,2352,0,0
98808763,Female,Disloyal Customer,24,Business Travel,Eco,1444,97,95
98808764,Male,,43,Personal Travel,Eco,1925,168,179
98808765,Male,Loyal Customer,41,Business Travel,Business,1517,0,0
98808766,Female,Disloyal Customer,51,Business Travel,Business,2311,2,0
98808767,Female,Loyal Customer,33,Business Travel,Eco,1429,0,0
98808768,Female,Loyal Customer,34,Business Travel,Business,4209,410,435
98808769,Female,Loyal Customer,12,Personal Travel,Business,1312,0,0
98808770,Male,Loyal Customer,35,Personal Travel,Eco,1621,0,15
98808771,Male,Loyal Customer,49,Business Travel,Eco,2642,33,25
98808772,Male,Loyal Customer,23,Business Travel,Business,5089,4,31
98808773,Female,Loyal Customer,13,Business Travel,Business,3986,0,0
98808774,Female,Disloyal Customer,24,,Business,2108,0,0
98808775,Male,Loyal Customer,58,Personal Travel,Eco,2096,0,0
98808776,Female,Loyal Customer,25,Business Travel,Business,2815,0,0
98808777,Male,Loyal Customer,34,Personal Travel,Eco,2273,0,0
98808778,Female,Loyal Customer,38,Business Travel,Eco,1424,6,37
98808779,Female,Loyal Customer,15,Personal Travel,Eco,2850,3,4
98808780,Female,Loyal Customer,51,Business Travel,Business,477,18,61
98808781,Female,Disloyal Customer,34,Business Travel,Eco,1856,0,0
98808782,Male,Loyal Customer,48,Business Travel,Business,691,0,0
98808783,Female,Loyal Customer,67,,Eco,555,86,68
98808784,Female,Loyal Customer,58,Business Travel,Eco,730,0,0
98808785,Female,Loyal Customer,45,Business Travel,Business,810,0,0
98808786,Female,Loyal Customer,20,Personal Travel,Eco,3103,0,2
98808787,Female,Disloyal Customer,33,Business Travel,Business,2280,0,0
98808788,Female,Loyal Customer,41,Business Travel,Business,1771,24,6
98808789,Female,Disloyal Customer,15,Business Travel,Eco,2179,0,0
98808790,Female,,28,Personal Travel,Eco,2752,0,0
98808791,Male,Loyal Customer,32,Business Travel,Business,3955,1,0
98808792,Male,Loyal Customer,41,Business Travel,Business,2475,9,8
98808793,Male,Loyal Customer,49,Business Travel,Business,458,0,0
98808794,Male,Loyal Customer,50,Personal Travel,Eco,2924,0,6
98808795,Female,,12,Personal Travel,Eco,2507,0,0
98808796,Female,Loyal Customer,54,Personal Travel,Eco,1216,0,1
98808797,Male,Loyal Customer,11,Personal Travel,Eco,2523,13,18
98808798,Male,Disloyal Customer,44,Business Travel,Business,1203,108,130
98808799,Female,Loyal Customer,42,Personal Travel,Eco,251,0,0
98808800,Female,Loyal Customer,60,Business Travel,Business,2197,0,1
98808801,Female,Loyal Customer,21,Business Travel,Eco,2216,1,0
98808802,Male,Disloyal Customer,18,Business Travel,Business,2502,119,116
98808803,Female,Loyal Customer,27,Personal Travel,Eco,1872,0,0
98808804,Female,Loyal Customer,21,Personal Travel,Eco,1727,28,20
98808805,Male,,64,Business Travel,Eco,1616,0,0
98808806,Male,Loyal Customer,58,,Eco,3508,0,0
98808807,Female,Loyal Customer,40,Business Travel,Eco,1616,0,0
98808808,Male,Loyal Customer,47,Personal Travel,Eco,1658,12,7
98808809,Female,Loyal Customer,41,Business Travel,Business,2101,24,11
98808810,Female,Loyal Customer,12,Personal Travel,Eco,3114,41,44
98808811,Female,Loyal Customer,51,Personal Travel,Eco,367,0,0
98808812,Male,Loyal Customer,39,Business Travel,Business,2235,27,46
98808813,Male,Loyal Customer,43,Business Travel,Business,3148,76,68
98808814,Female,Loyal Customer,30,Personal Travel,Eco,1812,0,0
98808815,Male,Loyal Customer,47,Personal Travel,Eco,1724,2,0
98808816,Male,Loyal Customer,50,Business Travel,Eco,2065,73,86
98808817,Male,Loyal Customer,45,Personal Travel,Eco,2141,0,0
98808818,Male,Disloyal Customer,20,Business Travel,Eco,1467,45,32
98808819,Male,,60,Business Travel,Business,3361,0,0
98808820,Female,Loyal Customer,36,Personal Travel,Eco,1648,0,6
98808821,Female,Loyal Customer,10,Personal Travel,Eco,1657,17,9
98808822,Male,Disloyal Customer,26,Business Travel,Eco,2838,0,14
98808823,Female,Disloyal Customer,35,,Business,2274,0,0
98808824,Male,Loyal Customer,22,Personal Travel,Eco,2411,0,0
98808825,Female,Loyal Customer,48,Business Travel,Business,1688,8,0
98808826,Female,Loyal Customer,63,Personal Travel,Eco,603,21,19
98808827,Male,Disloyal Customer,72,Business Travel,Eco,1236,0,0
98808828,Male,Loyal Customer,28,Personal Travel,Eco,1565,0,12
98808829,Male,,46,Business Travel,Business,3648,3,8
98808830,Female,Disloyal Customer,22,Business Travel,Business,1583,22,14
98808831,Female,Loyal Customer,42,Business Travel,Business,629,0,0
98808832,Male,Loyal Customer,46,Business Travel,Business,2114,2,0
98808833,Female,Loyal Customer,57,Business Travel,Business,493,0,0
98808834,Male,Loyal Customer,57,Business Travel,Business,3476,8,2
98808835,Male,,44,Business Travel,Business,2852,0,11
98808836,Male,Loyal Customer,38,Personal Travel,Eco,2279,20,11
98808837,Male,Loyal Customer,69,Personal Travel,Eco,1968,0,0
98808838,Male,Loyal Customer,38,Personal Travel,Business,774,15,82
98808839,Female,,46,Business Travel,Business,851,6,40
98808840,Male,Loyal Customer,54,Business Travel,Business,478,0,0
98808841,Male,Disloyal Customer,42,Business Travel,Business,1229,0,0
98808842,Male,Loyal Customer,42,Personal Travel,Eco,1680,31,29
98808843,Female,,62,Business Travel,Business,2384,0,0
98808844,Male,Loyal Customer,45,Business Travel,Business,880,0,3
98808845,Female,Loyal Customer,28,Business Travel,Business,3677,0,0
98808846,Female,Loyal Customer,15,Personal Travel,Eco,1544,0,0
98808847,Female,Loyal Customer,64,,Eco,873,49,31
98808848,Female,Disloyal Customer,38,Business Travel,Business,2393,3,0
98808849,Female,Loyal Customer,45,Business Travel,Business,3684,0,0
98808850,Male,Loyal Customer,48,Business Travel,Business,255,2,0
98808851,Male,Loyal Customer,47,Business Travel,Business,2972,17,6
98808852,Female,Disloyal Customer,24,Business Travel,Business,2910,0,0
98808853,Male,Loyal Customer,51,Business Travel,Business,3057,258,250
98808854,Female,Loyal Customer,39,Business Travel,Business,958,0,36
98808855,Female,Loyal Customer,38,Personal Travel,Eco,2115,0,0
98808856,Female,Loyal Customer,57,Business Travel,Business,931,0,0
98808857,Female,Disloyal Customer,26,Business Travel,Business,2581,0,2
98808858,Female,Loyal Customer,26,Personal Travel,Eco,2019,0,0
98808859,Male,,60,Business Travel,Business,82,0,0
98808860,Male,Disloyal Customer,29,Business Travel,Eco,1778,0,0
98808861,Male,Loyal Customer,57,,Business,470,0,0
98808862,Female,Loyal Customer,18,Personal Travel,Eco,1557,15,8
98808863,Male,Loyal Customer,44,Business Travel,Business,2239,1,0
98808864,Female,Loyal Customer,14,Personal Travel,Eco,1761,24,20
98808865,Female,Disloyal Customer,36,Business Travel,Business,1584,0,0
98808866,Female,Loyal Customer,53,Personal Travel,Eco,2458,0,0
98808867,Male,Loyal Customer,51,Business Travel,Business,2464,0,0
98808868,Female,Loyal Customer,26,,Business,3908,0,5
98808869,Female,,11,Personal Travel,Eco,1657,0,0
98808870,Female,Loyal Customer,37,Business Travel,Eco,1834,0,13
98808871,Male,,57,Business Travel,Business,3273,1,0
98808872,Male,Loyal Customer,11,Personal Travel,Eco,3894,12,0
98808873,Male,Loyal Customer,39,Business Travel,Eco,2849,13,8
98808874,Male,Loyal Customer,48,Business Travel,Business,2619,30,NA
98808875,Male,Loyal Customer,29,Business Travel,Business,2647,46,28
98808876,Female,Loyal Customer,37,Personal Travel,Business,268,7,8
98808877,Male,Disloyal Customer,37,Business Travel,Business,1646,0,0
98808878,Female,Loyal Customer,7,,Business,3537,47,30
98808879,Female,Loyal Customer,32,Business Travel,Business,4063,0,0
98808880,Male,Loyal Customer,59,Business Travel,Business,2450,42,52
98808881,Female,Loyal Customer,45,Personal Travel,Eco,1162,0,13
98808882,Male,Loyal Customer,12,Personal Travel,Eco,4078,29,4
98808883,Male,Loyal Customer,57,Business Travel,Eco,1205,10,25
98808884,Male,Loyal Customer,34,Business Travel,Business,392,0,0
98808885,Female,Loyal Customer,71,Business Travel,Business,2138,0,0
98808886,Female,Loyal Customer,27,,Business,4758,59,69
98808887,Female,Disloyal Customer,43,,Business,1700,31,43
98808888,Female,,26,Business Travel,Eco,2472,0,0
98808889,Male,Loyal Customer,48,Business Travel,Business,3321,11,11
98808890,Male,Loyal Customer,62,Personal Travel,Business,214,2,14
98808891,Female,Loyal Customer,63,Personal Travel,Eco,432,19,23
98808892,Male,Loyal Customer,23,Personal Travel,Eco,1259,69,65
98808893,Female,Loyal Customer,35,,Business,1459,0,0
98808894,Female,Loyal Customer,55,Business Travel,Eco,697,0,0
98808895,Male,Disloyal Customer,17,Business Travel,Business,1660,0,0
98808896,Female,Loyal Customer,30,Personal Travel,Eco,1691,49,24
98808897,Male,Loyal Customer,10,Personal Travel,Eco,1431,66,68
98808898,Female,Loyal Customer,17,Personal Travel,Eco,2855,0,0
98808899,Male,Loyal Customer,38,Business Travel,Eco,1330,0,1
98808900,Male,Loyal Customer,58,Personal Travel,Eco,1395,0,0
98808901,Female,Loyal Customer,41,Business Travel,Business,215,37,38
98808902,Male,Loyal Customer,51,Business Travel,Business,2256,0,0
98808903,Male,,34,Personal Travel,Eco,2179,8,1
98808904,Male,Loyal Customer,37,,Eco,1722,0,0
98808905,Male,Loyal Customer,57,Business Travel,Business,601,4,0
98808906,Female,Loyal Customer,44,Personal Travel,Eco,974,0,0
98808907,Female,Loyal Customer,50,Business Travel,Business,2204,8,10
98808908,Male,Loyal Customer,40,Business Travel,Eco,2954,0,0
98808909,Female,Disloyal Customer,27,Business Travel,Business,1545,3,16
98808910,Male,Loyal Customer,35,Business Travel,Business,2435,22,14
98808911,Male,Disloyal Customer,44,Business Travel,Business,3018,173,160
98808912,Male,Loyal Customer,52,Business Travel,Business,1600,0,1
98808913,Female,Loyal Customer,36,Business Travel,Business,1951,0,0
98808914,Male,Loyal Customer,27,Personal Travel,Eco,1129,0,0
98808915,Male,Loyal Customer,13,Personal Travel,Eco,1636,1,0
98808916,Male,Loyal Customer,37,Personal Travel,Eco,2052,0,0
98808917,Male,Loyal Customer,66,Personal Travel,Business,457,0,0
98808918,Female,Loyal Customer,60,,Eco,1084,16,0
98808919,Male,Loyal Customer,60,Business Travel,Business,364,0,0
98808920,Female,Disloyal Customer,36,Business Travel,Business,2105,0,12
98808921,Male,Disloyal Customer,38,Business Travel,Eco,2254,29,32
98808922,Male,Loyal Customer,53,Business Travel,Business,1670,0,0
98808923,Male,Loyal Customer,36,Personal Travel,Business,355,0,0
98808924,Male,Disloyal Customer,23,Business Travel,Eco,2388,0,0
98808925,Female,,30,Business Travel,Eco,1739,47,59
98808926,Female,,52,Business Travel,Business,1544,74,70
98808927,Female,Loyal Customer,47,Business Travel,Business,1105,0,0
98808928,Male,Loyal Customer,43,Business Travel,Business,473,45,42
98808929,Female,Loyal Customer,60,Business Travel,Business,336,0,0
98808930,Male,Disloyal Customer,24,Business Travel,Eco,2616,0,0
98808931,Female,Loyal Customer,18,Business Travel,Business,2552,0,0
98808932,Male,Loyal Customer,37,Personal Travel,Eco,1720,110,112
98808933,Male,Disloyal Customer,23,Business Travel,Eco,2356,32,28
98808934,Female,Disloyal Customer,22,Business Travel,Eco,2088,12,0
98808935,Male,Loyal Customer,42,Personal Travel,Eco,1998,40,33
98808936,Female,Loyal Customer,72,Business Travel,Business,614,31,20
98808937,Female,Loyal Customer,56,Business Travel,Eco,273,0,0
98808938,Female,Loyal Customer,35,Business Travel,Business,1794,0,0
98808939,Male,Loyal Customer,55,Business Travel,Business,2601,11,26
98808940,Male,Loyal Customer,34,Personal Travel,Eco,2086,25,0
98808941,Male,,44,Personal Travel,Eco,1884,0,0
98808942,Male,,51,Business Travel,Eco,1973,25,16
98808943,Female,Loyal Customer,55,Business Travel,Business,2820,24,26
98808944,Male,Loyal Customer,49,Business Travel,Eco,1250,0,0
98808945,Male,Disloyal Customer,40,Business Travel,Eco,2375,1,56
98808946,Female,Loyal Customer,48,,Business,2969,45,41
98808947,Female,Disloyal Customer,29,Business Travel,Eco,2516,0,4
98808948,Male,Loyal Customer,57,Business Travel,Business,814,0,3
98808949,Male,Loyal Customer,56,Business Travel,Business,2007,0,0
98808950,Male,Disloyal Customer,24,Business Travel,Eco,2221,9,0
98808951,Male,Loyal Customer,36,Business Travel,Eco,3059,0,0
98808952,Female,Loyal Customer,9,Personal Travel,Eco,1982,12,68
98808953,Female,Loyal Customer,36,Personal Travel,Eco,4223,0,0
98808954,Female,Loyal Customer,29,Business Travel,Eco,2227,58,60
98808955,Male,Loyal Customer,42,Business Travel,Eco,2046,0,0
98808956,Male,Loyal Customer,61,Business Travel,Business,1985,0,0
98808957,Female,Loyal Customer,42,Business Travel,Business,3994,0,0
98808958,Male,Loyal Customer,36,Business Travel,Business,2186,0,0
98808959,Female,Disloyal Customer,25,Personal Travel,Eco,2217,24,13
98808960,Male,Loyal Customer,27,Business Travel,Business,2836,0,0
98808961,Female,Loyal Customer,53,Business Travel,Business,2453,0,0
98808962,Male,Loyal Customer,35,Business Travel,Eco,3047,26,0
98808963,Female,Loyal Customer,36,Business Travel,Eco,2772,2,6
98808964,Male,Loyal Customer,43,Business Travel,Business,3553,0,0
98808965,Female,Loyal Customer,44,Business Travel,Business,1595,0,0
98808966,Female,Loyal Customer,48,Business Travel,Business,1837,0,4
98808967,Female,Loyal Customer,59,Business Travel,Eco,262,0,0
98808968,Female,Loyal Customer,58,Personal Travel,Eco,434,0,0
98808969,Female,Disloyal Customer,25,Business Travel,Eco,1788,5,14
98808970,Female,Loyal Customer,30,Business Travel,Business,1316,24,11
98808971,Male,Loyal Customer,41,Business Travel,Eco,1764,51,42
98808972,Female,Disloyal Customer,39,,Business,1531,18,2
98808973,Female,Loyal Customer,56,Business Travel,Business,1950,36,35
98808974,Male,Loyal Customer,13,Personal Travel,Eco,1178,13,5
98808975,Female,Loyal Customer,29,Personal Travel,Eco,3977,13,0
98808976,Female,Disloyal Customer,37,Business Travel,Eco,1976,9,0
98808977,Female,Loyal Customer,33,Business Travel,Business,1746,0,0
98808978,Female,Loyal Customer,35,Business Travel,Business,1379,0,0
98808979,Female,Disloyal Customer,24,Business Travel,Eco,1687,3,0
98808980,Female,Loyal Customer,67,,Business,321,0,0
98808981,Male,Loyal Customer,38,Business Travel,Eco,3001,0,0
98808982,Male,Disloyal Customer,23,Business Travel,Eco,2361,0,0
98808983,Male,,45,Business Travel,Eco,2343,0,0
98808984,Male,Loyal Customer,7,Personal Travel,Eco,3423,0,0
98808985,Male,Loyal Customer,43,Business Travel,Business,3714,70,61
98808986,Female,,67,Personal Travel,Eco,270,0,0
98808987,Male,Loyal Customer,50,Personal Travel,Eco,2735,10,12
98808988,Male,Loyal Customer,52,Personal Travel,Eco,1832,67,76
98808989,Male,Loyal Customer,11,,Eco,1597,14,21
98808990,Female,,44,Business Travel,Business,1817,0,0
98808991,Male,Loyal Customer,28,Personal Travel,Eco,1749,6,0
98808992,Male,Disloyal Customer,31,Business Travel,Eco,3382,49,49
98808993,Male,Disloyal Customer,26,Business Travel,Eco,1556,0,9
98808994,Male,Loyal Customer,50,,Eco,1580,0,29
98808995,Male,Loyal Customer,38,Business Travel,Eco,1628,0,0
98808996,Male,Loyal Customer,62,Business Travel,Business,2817,1,10
98808997,Female,Loyal Customer,46,Business Travel,Eco,893,0,0
98808998,Female,Loyal Customer,54,Business Travel,Business,1372,0,0
98808999,Female,Loyal Customer,41,Business Travel,Business,1581,0,0
98809000,Male,Loyal Customer,49,Personal Travel,Eco,2470,41,31
98809001,Male,Loyal Customer,29,Business Travel,Business,2514,15,15
98809002,Male,Loyal Customer,29,Personal Travel,Eco,2475,0,0
98809003,Male,Loyal Customer,34,Business Travel,Business,1800,7,5
98809004,Male,Loyal Customer,58,Business Travel,Business,2654,1,2
98809005,Male,,39,Business Travel,Business,352,0,0
98809006,Male,Loyal Customer,28,Business Travel,Business,1463,0,0
98809007,Male,Loyal Customer,16,Personal Travel,Eco,2305,0,0
98809008,Female,Loyal Customer,27,Personal Travel,Eco,1580,4,9
98809009,Female,Loyal Customer,40,Business Travel,Business,2509,0,0
98809010,Female,Disloyal Customer,21,Business Travel,Eco,2041,0,0
98809011,Male,Loyal Customer,27,Business Travel,Business,3848,19,17
98809012,Male,Disloyal Customer,42,Business Travel,Eco,1914,0,0
98809013,Female,Loyal Customer,26,Business Travel,Business,4721,0,0
98809014,Male,Loyal Customer,25,Business Travel,Business,4327,0,0
98809015,Male,Loyal Customer,50,Business Travel,Business,1041,0,0
98809016,Male,Disloyal Customer,29,Business Travel,Business,2719,0,2
98809017,Female,Loyal Customer,59,Business Travel,Business,2113,46,64
98809018,Female,Loyal Customer,57,Business Travel,Business,707,0,0
98809019,Male,Loyal Customer,64,,Eco,3716,5,0
98809020,Male,Loyal Customer,54,Business Travel,Eco,1590,25,15
98809021,Male,Disloyal Customer,23,Business Travel,Eco,1836,0,0
98809022,Male,Loyal Customer,52,Business Travel,Business,3003,67,61
98809023,Female,Loyal Customer,29,Business Travel,Business,2798,17,0
98809024,Male,Disloyal Customer,11,Business Travel,Eco,1823,94,86
98809025,Female,Loyal Customer,20,Business Travel,Eco,1759,59,62
98809026,Male,Disloyal Customer,30,Business Travel,Eco,4150,0,0
98809027,Female,Loyal Customer,41,Personal Travel,Eco,2050,1,2
98809028,Male,Loyal Customer,46,Business Travel,Business,666,0,0
98809029,Female,Loyal Customer,41,,Business,1765,17,0
98809030,Male,Loyal Customer,33,Business Travel,Business,3770,0,0
98809031,Female,Loyal Customer,28,Business Travel,Business,3265,2,0
98809032,Male,Loyal Customer,50,Business Travel,Business,233,47,38
98809033,Female,Disloyal Customer,24,Business Travel,Eco,1596,0,0
98809034,Female,Loyal Customer,45,Personal Travel,Eco,1013,0,0
98809035,Male,,28,Personal Travel,Eco,3507,0,0
98809036,Female,Loyal Customer,30,Personal Travel,Eco,1177,2,1
98809037,Female,,45,Business Travel,Business,2258,0,0
98809038,Male,Loyal Customer,45,,Eco,1519,8,3
98809039,Male,Loyal Customer,41,,Business,1598,31,29
98809040,Female,Loyal Customer,30,Business Travel,Business,2857,22,7
98809041,Female,,63,Business Travel,Eco,2566,107,NA
98809042,Female,Disloyal Customer,37,Business Travel,Eco,1345,0,0
98809043,Male,Loyal Customer,39,Personal Travel,Eco,2203,0,0
98809044,Male,,70,Personal Travel,Eco,2211,0,3
98809045,Female,Loyal Customer,44,Business Travel,Business,2876,0,0
98809046,Female,,65,Personal Travel,Eco,348,0,4
98809047,Female,Disloyal Customer,17,Business Travel,Eco,1315,0,0
98809048,Male,Loyal Customer,14,Personal Travel,Eco,1563,0,0
98809049,Male,Loyal Customer,27,Business Travel,Business,2206,0,5
98809050,Male,Disloyal Customer,34,Business Travel,Eco,4378,0,0
98809051,Male,Loyal Customer,48,Business Travel,Business,2607,0,0
98809052,Female,Loyal Customer,60,Personal Travel,Eco,1542,28,25
98809053,Female,Loyal Customer,46,Personal Travel,Eco,1091,8,0
98809054,Male,Loyal Customer,65,Personal Travel,Eco,1028,0,0
98809055,Male,Loyal Customer,45,Business Travel,Eco,2472,0,0
98809056,Male,Loyal Customer,35,Personal Travel,Eco,2662,0,0
98809057,Male,Loyal Customer,43,Business Travel,Eco,1920,0,0
98809058,Female,Loyal Customer,42,Business Travel,Business,3876,0,0
98809059,Male,Loyal Customer,32,,Eco,2377,0,11
98809060,Female,Disloyal Customer,30,Business Travel,Eco,1677,0,0
98809061,Male,Loyal Customer,40,Business Travel,Business,452,1,0
98809062,Female,Disloyal Customer,36,Business Travel,Eco,1049,0,0
98809063,Male,Loyal Customer,14,,Business,3173,27,23
98809064,Male,Loyal Customer,34,Business Travel,Business,1928,10,0
98809065,Male,Loyal Customer,47,Business Travel,Eco,1692,0,0
98809066,Male,Loyal Customer,69,Personal Travel,Eco,1457,28,31
98809067,Female,Loyal Customer,44,Business Travel,Business,1528,0,0
98809068,Male,Loyal Customer,12,,Eco,1948,0,0
98809069,Female,,42,Business Travel,Business,444,0,0
98809070,Male,Loyal Customer,57,Business Travel,Business,3543,43,31
98809071,Female,Loyal Customer,36,Personal Travel,Eco,2192,8,0
98809072,Male,Loyal Customer,53,Business Travel,Business,957,1,0
98809073,Male,Loyal Customer,29,Personal Travel,Eco,1284,0,0
98809074,Male,Loyal Customer,45,Business Travel,Business,2939,12,3
98809075,Female,Loyal Customer,44,Personal Travel,Eco,361,0,0
98809076,Male,Loyal Customer,57,Business Travel,Business,6604,4,13
98809077,Male,Disloyal Customer,39,Business Travel,Business,1491,0,0
98809078,Male,Loyal Customer,14,Personal Travel,Eco,1357,0,0
98809079,Female,Loyal Customer,43,Business Travel,Business,2612,0,0
98809080,Female,Disloyal Customer,21,Business Travel,Eco,2552,9,2
98809081,Male,,15,Personal Travel,Eco,1678,63,57
98809082,Female,Loyal Customer,43,Business Travel,Business,2470,3,6
98809083,Male,Loyal Customer,46,Business Travel,Business,482,0,0
98809084,Male,Loyal Customer,57,Business Travel,Business,306,0,0
98809085,Female,Loyal Customer,52,Business Travel,Eco,110,0,0
98809086,Female,Loyal Customer,11,Personal Travel,Eco,1544,0,0
98809087,Male,Loyal Customer,12,,Eco,1981,73,61
98809088,Male,Loyal Customer,59,,Eco,3197,0,0
98809089,Female,Loyal Customer,57,Personal Travel,Eco,1430,0,0
98809090,Male,Loyal Customer,40,Business Travel,Eco,1664,0,54
98809091,Male,Loyal Customer,53,Business Travel,Eco,2327,0,0
98809092,Male,,52,Business Travel,Business,3032,0,0
98809093,Female,Loyal Customer,24,Personal Travel,Eco,1851,0,0
98809094,Male,Loyal Customer,45,,Business,3842,0,0
98809095,Female,,34,Personal Travel,Eco,1530,0,4
98809096,Female,Loyal Customer,60,,Eco,916,0,0
98809097,Male,Loyal Customer,11,Personal Travel,Eco,2521,6,0
98809098,Male,Disloyal Customer,24,Business Travel,Business,2404,36,34
98809099,Female,,42,Business Travel,Eco,2579,0,0
98809100,Female,Loyal Customer,25,,Business,3353,0,0
98809101,Male,Loyal Customer,7,Business Travel,Business,2940,9,7
98809102,Male,Loyal Customer,23,,Eco,2228,0,0
98809103,Male,Loyal Customer,65,Personal Travel,Eco,1280,21,26
98809104,Female,Loyal Customer,25,Business Travel,Business,1692,0,0
98809105,Female,Loyal Customer,48,Business Travel,Eco,89,0,17
98809106,Female,,58,Business Travel,Eco,249,0,0
98809107,Male,Disloyal Customer,30,Business Travel,Eco,1899,5,3
98809108,Female,Loyal Customer,18,Personal Travel,Eco,1261,1,0
98809109,Male,,33,Business Travel,Business,2629,145,152
98809110,Female,Loyal Customer,59,,Eco,435,66,63
